Id,Caring,Confident,Emotionally stable,Intelligent,Responsible,Sociable,Trustworthy
368079,0.0,0.0,0.0,0.0,0.0,1.0,0.0
438384,1.0,1.0,0.0,1.0,0.0,1.0,0.0
30155,1.0,1.0,1.0,0.0,1.0,1.0,1.0
270812,0.0,0.0,1.0,0.0,0.0,0.0,0.0
330524,0.0,1.0,0.0,0.0,0.0,0.0,0.0
162106,0.0,0.0,0.0,1.0,0.0,0.0,0.0
308999,0.0,0.0,0.0,1.0,0.0,0.0,0.0
370799,1.0,0.0,0.0,0.0,0.0,0.0,0.0
404303,0.0,1.0,0.0,0.0,0.0,0.0,0.0
417017,0.0,1.0,0.0,0.0,0.0,0.0,0.0
458421,0.0,0.0,1.0,0.0,0.0,0.0,0.0
98119,0.0,0.0,0.0,0.0,0.0,1.0,0.0
453947,0.0,1.0,0.0,0.0,0.0,0.0,0.0
447077,0.0,1.0,0.0,0.0,0.0,0.0,0.0
169664,1.0,1.0,1.0,1.0,1.0,1.0,1.0
366257,0.0,0.0,0.0,0.0,0.0,0.0,1.0
319404,0.0,1.0,0.0,0.0,0.0,0.0,0.0
283569,1.0,0.0,0.0,0.0,0.0,0.0,0.0
338045,1.0,0.0,0.0,0.0,0.0,0.0,0.0
322456,0.0,1.0,0.0,0.0,0.0,0.0,0.0
355010,1.0,0.0,0.0,0.0,0.0,0.0,0.0
56362,1.0,0.0,1.0,0.0,1.0,0.0,0.0
113086,0.0,0.0,1.0,0.0,0.0,0.0,0.0
417102,0.0,0.0,1.0,0.0,0.0,0.0,0.0
404728,0.0,0.0,0.0,1.0,0.0,0.0,0.0
142080,0.0,0.0,0.0,1.0,0.0,0.0,0.0
166498,0.0,0.0,0.0,1.0,0.0,0.0,0.0
265835,0.0,1.0,0.0,0.0,0.0,0.0,0.0
276660,0.0,0.0,1.0,0.0,0.0,0.0,0.0
118563,0.0,1.0,0.0,0.0,0.0,0.0,0.0
410747,0.0,1.0,0.0,0.0,0.0,0.0,0.0
399672,0.0,1.0,0.0,0.0,0.0,0.0,0.0
81392,0.0,1.0,0.0,1.0,0.0,0.0,0.0
439191,0.0,0.0,1.0,0.0,0.0,1.0,0.0
430644,1.0,0.0,0.0,0.0,0.0,0.0,0.0
163614,0.0,1.0,0.0,0.0,0.0,0.0,0.0
161531,0.0,1.0,1.0,0.0,1.0,0.0,0.0
150645,0.0,0.0,0.0,0.0,1.0,0.0,0.0
186453,0.0,1.0,0.0,0.0,0.0,0.0,0.0
328854,0.0,1.0,0.0,0.0,0.0,0.0,0.0
206683,0.0,0.0,0.0,1.0,0.0,0.0,0.0
213253,0.0,0.0,0.0,0.0,0.0,0.0,1.0
259426,0.0,0.0,0.0,0.0,0.0,0.0,1.0
358747,0.0,0.0,0.0,0.0,0.0,1.0,0.0
450912,1.0,1.0,0.0,0.0,1.0,0.0,1.0
224898,0.0,1.0,1.0,0.0,0.0,0.0,0.0
449695,0.0,0.0,1.0,0.0,0.0,0.0,0.0
434237,0.0,1.0,0.0,0.0,0.0,0.0,0.0
455746,1.0,1.0,0.0,0.0,1.0,0.0,0.0
348530,1.0,1.0,1.0,0.0,1.0,1.0,1.0
357107,0.0,1.0,0.0,0.0,0.0,0.0,0.0
168717,0.0,1.0,0.0,0.0,0.0,0.0,0.0
84654,0.0,1.0,0.0,0.0,0.0,0.0,0.0
369692,0.0,0.0,1.0,0.0,0.0,0.0,0.0
354567,0.0,1.0,1.0,1.0,0.0,1.0,1.0
395872,0.0,1.0,0.0,0.0,1.0,0.0,0.0
422612,0.0,0.0,0.0,0.0,1.0,0.0,0.0
175332,0.0,1.0,0.0,0.0,0.0,0.0,0.0
459471,0.0,0.0,0.0,0.0,0.0,1.0,0.0
387346,0.0,0.0,1.0,0.0,0.0,0.0,0.0
413403,0.0,1.0,0.0,0.0,0.0,0.0,0.0
172052,0.0,0.0,0.0,0.0,1.0,0.0,0.0
